"filename", "language", "JavaScript", "Markdown", "JSON", "TypeScript", "Less", "HTML", "XML", "CSS", "comment", "blank", "total"
"d:\2021--自己用框架写的案例\my-Angular\README.md", "Markdown", 0, 43, 0, 0, 0, 0, 0, 0, 0, 25, 68
"d:\2021--自己用框架写的案例\my-Angular\angular.json", "JSON", 0, 0, 111, 0, 0, 0, 0, 0, 30, 0, 141
"d:\2021--自己用框架写的案例\my-Angular\e2e\protractor.conf.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 6, 2, 32
"d:\2021--自己用框架写的案例\my-Angular\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 1, 5, 24
"d:\2021--自己用框架写的案例\my-Angular\e2e\src\app.po.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\2021--自己用框架写的案例\my-Angular\e2e\tsconfig.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"d:\2021--自己用框架写的案例\my-Angular\hello.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 6, 1, 24
"d:\2021--自己用框架写的案例\my-Angular\hello.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 6, 4, 24
"d:\2021--自己用框架写的案例\my-Angular\karma.conf.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 2, 2, 33
"d:\2021--自己用框架写的案例\my-Angular\package-lock.json", "JSON", 0, 0, 16055, 0, 0, 0, 0, 0, 0, 1, 16056
"d:\2021--自己用框架写的案例\my-Angular\package.json", "JSON", 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 67
"d:\2021--自己用框架写的案例\my-Angular\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 93, 0, 0, 0, 0, 2, 2, 97
"d:\2021--自己用框架写的案例\my-Angular\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 36, 0, 0, 5, 1, 42
"d:\2021--自己用框架写的案例\my-Angular\src\app\app.component.less", "Less", 0, 0, 0, 0, 55, 0, 0, 0, 0, 3, 58
"d:\2021--自己用框架写的案例\my-Angular\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
"d:\2021--自己用框架写的案例\my-Angular\src\app\app.component.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 6, 32
"d:\2021--自己用框架写的案例\my-Angular\src\app\app.module.ts", "TypeScript", 0, 0, 0, 67, 0, 0, 0, 0, 3, 7, 77
"d:\2021--自己用框架写的案例\my-Angular\src\app\httpConfig\config.service.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 7, 11, 61
"d:\2021--自己用框架写的案例\my-Angular\src\app\httpConfig\http.handleError.service.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 13, 12, 46
"d:\2021--自己用框架写的案例\my-Angular\src\app\httpConfig\message.service.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"d:\2021--自己用框架写的案例\my-Angular\src\app\in-memory-data.service.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 11, 4, 41
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\angular-attribute.component.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\angular-attribute.component.less", "Less", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\angular-attribute.component.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 0, 0, 3, 9, 66
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\angular-attribute.module.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 1, 2, 47
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\element-ref\element-ref.component.html", "HTML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\element-ref\element-ref.component.less", "Less", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\element-ref\element-ref.component.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 6, 9, 45
"d:\2021--自己用框架写的案例\my-Angular\src\app\pages\angular-api\function\function.component.html", "HTML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 5, 19
