Date : 2021-06-20 15:43:10
Directory : d:\2021--自己用框架写的案例\my-Angular
Total : 192 files,  20786 codes, 598 comments, 953 blanks, all 22337 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          9 |     16,394 |         36 |          6 |     16,436 |
| TypeScript |        102 |      2,588 |        356 |        627 |      3,571 |
| Less       |         34 |        771 |        136 |        145 |      1,052 |
| HTML       |         36 |        724 |         45 |         95 |        864 |
| JavaScript |          5 |        146 |         21 |         11 |        178 |
| Markdown   |          3 |         95 |          1 |         40 |        136 |
| CSS        |          1 |         36 |          0 |         10 |         46 |
| XML        |          2 |         32 |          3 |         19 |         54 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |        192 |     20,786 |        598 |        953 |     22,337 |
| e2e                                                                                                            |          4 |         64 |          7 |         11 |         82 |
| e2e\src                                                                                                        |          2 |         27 |          1 |          8 |         36 |
| src                                                                                                            |        173 |      4,114 |        533 |        884 |      5,531 |
| src\app                                                                                                        |        162 |      3,445 |        324 |        732 |      4,501 |
| src\app\httpConfig                                                                                             |          3 |         75 |         20 |         27 |        122 |
| src\app\pages                                                                                                  |        109 |      2,240 |        227 |        518 |      2,985 |
| src\app\pages\angular-api                                                                                      |         40 |        742 |         67 |        172 |        981 |
| src\app\pages\angular-api\element-ref                                                                          |          3 |         36 |          6 |         10 |         52 |
| src\app\pages\angular-api\function                                                                             |          3 |         60 |          5 |         18 |         83 |
| src\app\pages\angular-api\inner-html                                                                           |          3 |         49 |          2 |         11 |         62 |
| src\app\pages\angular-api\ng-component-outlet                                                                  |          9 |        174 |          4 |         35 |        213 |
| src\app\pages\angular-api\ng-component-outlet\a.component                                                      |          2 |         29 |          2 |          7 |         38 |
| src\app\pages\angular-api\ng-component-outlet\b.component                                                      |          2 |         48 |          1 |         10 |         59 |
| src\app\pages\angular-api\ng-if                                                                                |          3 |         47 |          2 |         13 |         62 |
| src\app\pages\angular-api\ng-plural                                                                            |          3 |        135 |          8 |         17 |        160 |
| src\app\pages\angular-api\refresh-view                                                                         |          3 |         49 |         20 |         14 |         83 |
| src\app\pages\angular-api\router                                                                               |          9 |         72 |         16 |         38 |        126 |
| src\app\pages\angular-api\router\brother-router                                                                |          3 |         12 |          0 |          7 |         19 |
| src\app\pages\angular-api\router\child-router                                                                  |          3 |         33 |          6 |         17 |         56 |
| src\app\pages\angular-works                                                                                    |         10 |        211 |          0 |         54 |        265 |
| src\app\pages\angular-works\custom-model                                                                       |          3 |         49 |          0 |         13 |         62 |
| src\app\pages\angular-works\drag-drop                                                                          |          3 |        102 |          0 |         26 |        128 |
| src\app\pages\basic                                                                                            |         14 |        372 |         59 |         79 |        510 |
| src\app\pages\basic\service                                                                                    |          4 |         75 |         20 |         25 |        120 |
| src\app\pages\basic\svg                                                                                        |          2 |         21 |          0 |          2 |         23 |
| src\app\pages\basic\test                                                                                       |          3 |         39 |          2 |         11 |         52 |
| src\app\pages\bootstrap                                                                                        |          9 |        193 |         27 |         38 |        258 |
| src\app\pages\bootstrap\child                                                                                  |          3 |         28 |          0 |          9 |         37 |
| src\app\pages\counter                                                                                          |          5 |        151 |         19 |         35 |        205 |
| src\app\pages\es6                                                                                              |          5 |         57 |          1 |         15 |         73 |
| src\app\pages\home                                                                                             |          5 |         52 |          0 |         10 |         62 |
| src\app\pages\rxjs                                                                                             |         10 |        251 |         13 |         48 |        312 |
| src\app\pages\rxjs\subjectdiff                                                                                 |          3 |         48 |          4 |         16 |         68 |
| src\app\pages\typescript                                                                                       |          6 |        121 |         37 |         49 |        207 |
| src\app\pages\workdemo                                                                                         |          5 |         90 |          4 |         18 |        112 |
| src\app\shared                                                                                                 |         33 |        650 |         38 |        111 |        799 |
| src\app\shared\components                                                                                      |         19 |        330 |         18 |         64 |        412 |
| src\app\shared\components\code-toggle                                                                          |          3 |         40 |          2 |         10 |         52 |
| src\app\shared\components\filter                                                                               |          3 |         92 |          2 |         10 |        104 |
| src\app\shared\components\select                                                                               |          3 |         27 |          0 |          6 |         33 |
| src\app\shared\components\test                                                                                 |          4 |         42 |          0 |         11 |         53 |
| src\app\shared\components\zorro                                                                                |          6 |        129 |         14 |         27 |        170 |
| src\app\shared\components\zorro\button                                                                         |          3 |         87 |         13 |         18 |        118 |
| src\app\shared\components\zorro\carousle                                                                       |          3 |         42 |          1 |          9 |         52 |
| src\app\shared\core                                                                                            |         13 |        267 |         12 |         43 |        322 |
| src\app\shared\core\directives                                                                                 |          2 |         26 |          1 |          5 |         32 |
| src\app\shared\core\eventEmit                                                                                  |          1 |         14 |          0 |          1 |         15 |
| src\app\shared\core\pipes                                                                                      |          6 |        105 |          6 |         26 |        137 |
| src\app\shared\core\utlis                                                                                      |          4 |        122 |          5 |         11 |        138 |
| src\app\store                                                                                                  |          9 |        103 |         17 |         33 |        153 |
| src\app\store\action                                                                                           |          3 |         10 |          0 |          7 |         17 |
| src\app\store\reducer                                                                                          |          3 |         50 |         10 |         15 |         75 |
